map_case,phase,metric,mean,median,std,min,max,mean_abs_temporal_change
M2_T_JUNCTION,CORRIDOR,local_front_lateral_span,64.04376762470527,76.10567737792374,22.328134598253577,25.429030477669293,86.29938182206956,37.90099856632136
M2_T_JUNCTION,CORRIDOR,local_front_lateral_velocity_variance,113.57752035752401,35.590314704621335,127.0428053388331,0.9085067355305391,313.4359432292227,252.32466459676323
M2_T_JUNCTION,CORRIDOR,motion_bearing_spread,121.58130567676751,122.82301732669768,25.23931473097423,85.49057436718617,160.4722776463644,18.74542581979456
M2_T_JUNCTION,CORRIDOR,boundary_angular_spread,354.51905838642426,354.7977294251592,1.4338609043036992,352.4271880621058,356.0875143609578,0.9150815747129997
M2_T_JUNCTION,CORRIDOR,mean_neighbor_degree,44.775,42.575,13.187546735040938,29.183333333333334,63.46666666666667,8.570833333333333
M2_T_JUNCTION,CORRIDOR,lidar_left_wall_support,0.950354609929078,0.9645390070921985,0.023307342872560245,0.9078014184397163,0.9716312056737588,0.017730496453900707
M2_T_JUNCTION,CORRIDOR,lidar_right_wall_support,1.0,1.0,0.0,1.0,1.0,0.0
M2_T_JUNCTION,CORRIDOR,lidar_forward_range,150.0,150.0,0.0,150.0,150.0,0.0
M2_T_JUNCTION,CORRIDOR,lidar_free_space_angular_span,35.2,35.0,2.0396078054371136,33.0,38.0,1.25
M2_T_JUNCTION,CORRIDOR,lidar_range_profile_change,2.286394396621719,2.5817661342865503,1.7172378231370533,0.0,4.710847276997557,1.1777118192493892
M3_ANGLED_Y,CORRIDOR,local_front_lateral_span,64.04376762470527,76.10567737792374,22.328134598253577,25.429030477669293,86.29938182206956,37.90099856632136
M3_ANGLED_Y,CORRIDOR,local_front_lateral_velocity_variance,113.57752035752401,35.590314704621335,127.0428053388331,0.9085067355305391,313.4359432292227,252.32466459676323
M3_ANGLED_Y,CORRIDOR,motion_bearing_spread,121.58130567676751,122.82301732669768,25.23931473097423,85.49057436718617,160.4722776463644,18.74542581979456
M3_ANGLED_Y,CORRIDOR,boundary_angular_spread,354.51905838642426,354.7977294251592,1.4338609043036992,352.4271880621058,356.0875143609578,0.9150815747129997
M3_ANGLED_Y,CORRIDOR,mean_neighbor_degree,44.775,42.575,13.187546735040938,29.183333333333334,63.46666666666667,8.570833333333333
M3_ANGLED_Y,CORRIDOR,lidar_left_wall_support,0.9588652482269504,0.9645390070921985,0.016419626812468384,0.9290780141843972,0.9787234042553191,0.015957446808510634
M3_ANGLED_Y,CORRIDOR,lidar_right_wall_support,1.0,1.0,0.0,1.0,1.0,0.0
M3_ANGLED_Y,CORRIDOR,lidar_forward_range,150.0,150.0,0.0,150.0,150.0,0.0
M3_ANGLED_Y,CORRIDOR,lidar_free_space_angular_span,32.6,33.0,0.4898979485566356,32.0,33.0,0.75
