viewpoint_id,source_experiment,source_file,source_grid_stage,raw_360_ranges_persisted,scan_source_type,forward_ratio_W,lateral_ratio_W,forward_displacement,lateral_displacement,world_x_reconstructed,world_y_reconstructed,yaw_deg_reconstructed,source_candidate_valid,source_straight_line_path_clear_eval,viewpoint_geometry_valid,movement_feasibility_proven,inside_consistent,footprint_consistent,viewpoint_validity_consistent,local_transform_roundtrip_error,saved_hit_count,reconstructed_hit_count,saved_max_range_count,reconstructed_max_range_count,saved_opening_count,reconstructed_opening_count,scan_summary_consistent
F-0.100_L+0.700,EXP-030,/Users/gaheeyang/Projects/PDFS-Multi-Robot/junction_detection/integration/output/2d_viewpoint_visibility_frontier/viewpoint_grid.csv,COARSE_0.10W,False,DETERMINISTIC_POSE_RECONSTRUCTION,-0.1,0.7,-8.4,58.8,-60.56205420305646,-161.14884977027222,90.0,False,False,False,False,True,True,True,1.1102230246251565e-16,210,,150,,1,,
F+0.000_L-0.700,EXP-030,/Users/gaheeyang/Projects/PDFS-Multi-Robot/junction_detection/integration/output/2d_viewpoint_visibility_frontier/viewpoint_grid.csv,COARSE_0.10W,False,DETERMINISTIC_POSE_RECONSTRUCTION,0.0,-0.7,0.0,-58.8,57.03794579694353,-152.74884977027222,90.0,False,False,False,False,True,True,True,4.286263797015736e-17,217,,143,,1,,
F+0.000_L-0.600,EXP-030,/Users/gaheeyang/Projects/PDFS-Multi-Robot/junction_detection/integration/output/2d_viewpoint_visibility_frontier/viewpoint_grid.csv,COARSE_0.10W,False,DETERMINISTIC_POSE_RECONSTRUCTION,0.0,-0.6,0.0,-50.4,48.637945796943534,-152.74884977027222,90.0,False,False,False,False,True,True,True,3.6739403974420595e-17,220,,140,,1,,
F+0.000_L-0.500,EXP-030,/Users/gaheeyang/Projects/PDFS-Multi-Robot/junction_detection/integration/output/2d_viewpoint_visibility_frontier/viewpoint_grid.csv,COARSE_0.10W,False,DETERMINISTIC_POSE_RECONSTRUCTION,0.0,-0.5,0.0,-42.0,40.237945796943535,-152.74884977027222,90.0,True,True,True,False,True,True,True,3.061616997868383e-17,289,289,71,71,2,2,True
F+0.000_L-0.400,EXP-030,/Users/gaheeyang/Projects/PDFS-Multi-Robot/junction_detection/integration/output/2d_viewpoint_visibility_frontier/viewpoint_grid.csv,COARSE_0.10W,False,DETERMINISTIC_POSE_RECONSTRUCTION,0.0,-0.4,0.0,-33.6,31.837945796943536,-152.74884977027222,90.0,True,True,True,False,True,True,True,2.4492935982947065e-17,288,288,72,72,2,2,True
F+0.000_L-0.300,EXP-030,/Users/gaheeyang/Projects/PDFS-Multi-Robot/junction_detection/integration/output/2d_viewpoint_visibility_frontier/viewpoint_grid.csv,COARSE_0.10W,False,DETERMINISTIC_POSE_RECONSTRUCTION,0.0,-0.3,0.0,-25.2,23.437945796943534,-152.74884977027222,90.0,True,True,True,False,True,True,True,1.8369701987210297e-17,287,287,73,73,2,2,True
F+0.000_L-0.200,EXP-030,/Users/gaheeyang/Projects/PDFS-Multi-Robot/junction_detection/integration/output/2d_viewpoint_visibility_frontier/viewpoint_grid.csv,COARSE_0.10W,False,DETERMINISTIC_POSE_RECONSTRUCTION,0.0,-0.2,0.0,-16.8,15.037945796943534,-152.74884977027222,90.0,True,True,True,False,True,True,True,1.2246467991473533e-17,286,286,74,74,2,2,True
F+0.000_L-0.100,EXP-030,/Users/gaheeyang/Projects/PDFS-Multi-Robot/junction_detection/integration/output/2d_viewpoint_visibility_frontier/viewpoint_grid.csv,COARSE_0.10W,False,DETERMINISTIC_POSE_RECONSTRUCTION,0.0,-0.1,0.0,-8.4,6.637945796943534,-152.74884977027222,90.0,True,True,True,False,True,True,True,6.123233995736766e-18,287,287,73,73,2,2,True
A0,EXP-030,/Users/gaheeyang/Projects/PDFS-Multi-Robot/junction_detection/integration/output/2d_viewpoint_visibility_frontier/viewpoint_grid.csv,COARSE_0.10W,False,DETERMINISTIC_POSE_RECONSTRUCTION,0.0,0.0,0.0,0.0,-1.7620542030564665,-152.74884977027222,90.0,True,True,True,False,True,True,True,0.0,287,287,73,73,2,2,True
F+0.000_L+0.100,EXP-030,/Users/gaheeyang/Projects/PDFS-Multi-Robot/junction_detection/integration/output/2d_viewpoint_visibility_frontier/viewpoint_grid.csv,COARSE_0.10W,False,DETERMINISTIC_POSE_RECONSTRUCTION,0.0,0.1,0.0,8.4,-10.162054203056467,-152.74884977027222,90.0,True,True,True,False,True,True,True,6.123233995736766e-18,285,285,75,75,2,2,True
F+0.000_L+0.200,EXP-030,/Users/gaheeyang/Projects/PDFS-Multi-Robot/junction_detection/integration/output/2d_viewpoint_visibility_frontier/viewpoint_grid.csv,COARSE_0.10W,False,DETERMINISTIC_POSE_RECONSTRUCTION,0.0,0.2,0.0,16.8,-18.562054203056466,-152.74884977027222,90.0,True,True,True,False,True,True,True,1.2246467991473533e-17,288,288,72,72,2,2,True
