map_case,propulsion_mode,frame,timestamp,initialization_phase,lidar_robot_id,lidar_initial_x,lidar_initial_y,lidar_initial_front_center_offset,reference_front_size,reference_front_lateral_variance,reference_front_lateral_span,reference_front_longitudinal_span,reference_front_mean_speed,reference_front_mean_abs_lateral_velocity,reference_front_lateral_velocity_variance,local_front_size,local_front_lateral_variance,local_front_lateral_span,local_front_longitudinal_span,local_front_mean_speed,local_front_mean_abs_lateral_velocity,local_front_lateral_velocity_variance,local_front_surface_size,lidar_in_reference_front,lidar_in_local_front,lidar_longitudinal_front_gap,common_forward_x,common_forward_y,motion_bearing_spread,mean_neighbor_degree,median_neighbor_degree,neighbor_degree_std,mean_nearest_neighbor_distance,neighbor_graph_component_count,largest_neighbor_component_fraction,boundary_count,boundary_fraction,boundary_component_count,boundary_largest_component_fraction,boundary_second_component_fraction,boundary_membership_retention,boundary_lateral_span,boundary_longitudinal_span,boundary_angular_spread,boundary_covariance_trace,boundary_anisotropy,lidar_left_wall_support,lidar_right_wall_support,lidar_forward_range,lidar_range_discontinuity,lidar_range_total_variation,lidar_free_space_angular_span,lidar_range_profile_change,outside_free_space_robot_count,wall_contact_count,wall_projection_correction_count,nan_inf_state_count,max_speed,mean_speed_sanity,min_inter_robot_distance,mean_nearest_neighbor_distance_sanity,overlap_pair_count,maximum_pair_penetration,swarm_lateral_span_sanity,swarm_longitudinal_span_sanity,mean_density,density_std,mean_pressure,mean_pressure_force,mean_repulsion_force,mean_lateral_sph_force,communication_range,support_range,leader_connected_component_size,connected_to_leader_count,disconnected_count,leader_max_hop,communication_edge_count,support_edge_count,leader_to_nearest_follower_distance,leader_to_front_pack_gap,normalized_leader_gap,leader_connected,leader_communication_connected,leader_drive_scale,leader_forward_speed,gt_phase,gt_frontmost_crossed,gt_reference_front_crossed,gt_local_front_crossed,gt_mean_forward_progress,gt_frontmost_forward_progress,baseline_ready,lateral_span_ratio,lateral_variance_ratio,motion_spread_delta,boundary_fraction_delta,largest_component_drop,second_component_growth,neighbor_mean_ratio,lidar_side_wall_loss,lidar_free_span_growth,sph_evidence_raw,boundary_evidence_raw,lidar_evidence_raw,sph_evidence_smoothed,boundary_evidence_smoothed,lidar_evidence_smoothed,baseline_local_front_lateral_span,baseline_local_front_lateral_variance,baseline_motion_bearing_spread,baseline_boundary_fraction,baseline_boundary_largest_component_fraction,baseline_boundary_second_component_fraction,baseline_mean_neighbor_degree,baseline_lidar_free_space_angular_span,sph_threshold,boundary_threshold,lidar_threshold,sph_threshold_margin,boundary_threshold_margin,lidar_threshold_margin,boundary_second_component_size,boundary_largest_component_size,boundary_component_persistence,shadow_sph_expansion,shadow_boundary_change,shadow_lidar_geometry_change,shadow_sph_only_trigger,shadow_lidar_only_trigger,shadow_fusion_trigger,shadow_junction_suspected,sph_evidence_dwell,boundary_evidence_dwell,lidar_evidence_dwell,trigger_dwell,boundary_component_count_runtime
M1_CROSS_BASELINE,local_forward,0,0.016666666666666666,LOCAL_FORWARD,675,-1.4,-56.14,-1.1199999999999917,218,492.9789768149083,75.65750225005098,21.307931792635245,0.9965419635269376,0.25284284420455483,0.2639526522975658,210,655.4197901437556,75.68424842949372,61.284831282990304,1.0807764354818894,0.3592956415275716,0.42336234092786806,12,True,False,0.006139446596336029,0.0006744908840963047,0.9999997725309978,126.05868080717862,79.36764705882354,84.0,18.071674628418712,2.66129445267309,1,1.0,100,0.14705882352941177,1,1.0,0.0,1.0,75.68424842949372,63.927479827119924,355.97241820461426,1579.9736695113568,0.1595984566790502,0.8439716312056738,0.8368794326241135,150.0,107.11996503422982,1.67529203517735,33.0,0.0,0,0,0,0,1.8,0.784657636331246,2.6596023862678146,2.66129445267309,0,0.0,75.64908377430557,63.89999963554805,0.1242799137063047,0.018324176263867554,293.71997569663887,128.65423684913353,110.73165282204612,147.31150374750166,37.8,15.399999999999999,680,679,0,2,122011,26985,2.674696244435989,2.674696244435989,0.070759159905714,True,True,1.0,0.0,OPENING_APPROACH,False,False,False,0.005256798337171631,0.029999635548058734,False,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.16312056737588654,0.0,0.0,0.0,0.16312056737588654,0.0,0.0,0.08156028368794327,75.68424842949372,655.4197901437556,126.05868080717862,0.14705882352941177,1.0,0.0,79.36764705882354,33.0,0.05190502225289483,0.059716571272500886,0.012338797689551723,-0.05190502225289483,-0.059716571272500886,0.06922148599839155,0,100,0.0,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,100
M1_CROSS_BASELINE,local_forward,6,0.11666666666666665,LOCAL_FORWARD,675,-1.4,-56.14,-1.1199999999999917,218,501.72136545604627,77.98067365635617,22.79381626414029,19.57233471725941,3.6587903342378523,38.036876038881275,189,703.7097736498034,77.99947333097333,67.68767908155019,22.69096419080994,5.834821590781275,69.85180433307269,6,True,True,0.0,-7.839931643919159e-05,0.9999999969267734,65.96626600730242,77.39117647058823,84.0,18.982032799575293,2.745004039081563,1,1.0,100,0.14705882352941177,1,1.0,0.0,1.0,77.99947333097333,67.69622914799588,356.092760937123,1692.5660533564478,0.13477054599027008,0.8368794326241135,0.8297872340425532,150.0,107.62546022406906,1.6966009365713905,33.0,1.600720888998902,0,0,0,0,35.799365270424715,13.709297833501232,2.6602904825954763,2.745004039081563,0,0.0,77.99947357068339,67.69543308870365,0.11814909842674481,0.019948552142546913,251.4407030876422,116.65258631980545,104.19187178960289,157.3063847851603,37.8,15.399999999999999,680,679,0,3,119356,26637,2.754473970950776,2.754473970950776,0.07286968177118457,True,True,1.0,28.29263409853288,OPENING_APPROACH,False,False,False,0.3347174984180725,1.9483932372434722,False,1.0150648674756078,1.0355300810110128,-30.046207399938098,0.0,0.0,0.0,0.9873916469661151,0.17021276595744683,0.0,0.015064867475607757,0.0,0.18088423855077285,0.007532433737803879,0.0,0.13122226111935806,76.84186088023353,679.5647818967796,96.01247340724052,0.14705882352941177,1.0,0.0,78.37941176470588,33.0,0.05190502225289483,0.059716571272500886,0.012338797689551723,-0.044372588515090954,-0.059716571272500886,0.11888346342980634,0,100,0.0,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,100
M1_CROSS_BASELINE,local_forward,12,0.21666666666666665,LOCAL_FORWARD,675,-1.4,-56.14,-1.1199999999999917,218,529.4505199660946,81.74704981948213,27.163290841811545,44.50995470976791,5.414728212284799,54.428192712511155,163,745.8919606229643,82.06376065769925,77.77111395738976,45.68915137602161,6.846123658304333,77.50965703876261,9,True,True,0.0,0.005671063175726843,0.9999839193919355,76.44485386200789,67.9735294117647,72.0,19.353960057212937,2.890906368128209,1,1.0,99,0.14558823529411766,1,1.0,0.0,0.99,82.06376065769925,77.97844510318623,356.2332853052972,1979.2054913630368,0.05851464122954078,0.8014184397163121,0.7943262411347518,150.0,109.01864986982383,1.7573805078214764,33.0,6.117672669371158,0,43,0,0,75.86092663950708,26.600439583310344,2.617382846708036,2.890906368128209,0,0.0,81.74306965655248,77.93011058036288,0.10274065557344121,0.021748836241269418,158.01868876436788,87.01429247344849,89.69115225368574,157.766944161472,37.8,15.399999999999999,680,679,0,3,110133,23656,2.8978715508090658,2.8978715508090658,0.07666326853992238,True,True,1.0,70.68513501151487,OPENING_APPROACH,False,False,False,1.417221905230889,8.049388886869806,True,1.0521065996110002,1.0599425907563884,0.0,-0.0014705882352941124,0.0,0.0,0.8783111009767035,0.2056737588652482,0.0,0.029535133327847296,0.0014705882352941124,0.2464582433277226,0.018533783532825587,0.0007352941176470562,0.18884025222354034,77.99947333097333,703.7097736498034,76.44485386200789,0.14705882352941177,1.0,0.0,77.39117647058823,33.0,0.05190502225289483,0.059716571272500886,0.012338797689551723,-0.033371238720069245,-0.05898127715485383,0.1765014545339886,0,99,0.0,False,False,True,False,False,False,False,0.0,0.0,0.1,0.0,99
M1_CROSS_BASELINE,local_forward,18,0.31666666666666665,LOCAL_FORWARD,675,-1.4,-56.14,-1.1199999999999917,218,544.4980202971751,81.90955491681997,31.88689940547805,59.46032515330616,3.7652487257723948,19.709665044125224,184,574.3043528716998,82.70743633207049,90.6155920239081,48.62839750655421,3.2983045634212287,16.779041476053536,9,True,True,0.0,0.01327999720096786,0.999911816949046,83.64847160279717,58.11764705882353,63.0,15.202969342092649,2.9730483823316756,1,1.0,98,0.14411764705882352,1,1.0,0.0,0.98989898989899,82.70743633207049,90.6155920239081,356.05302411409974,2281.2226216966237,0.060102281295636904,0.7588652482269503,0.7588652482269503,150.0,76.27314150953895,1.8391852806914244,34.0,8.334540076681911,0,297,0,0,90.70110350910696,32.09044791780216,2.317780723730619,2.9730483823316756,0,0.0,81.74857406793244,90.56967799094798,0.08932839501530047,0.017703682681488406,80.57072048858791,50.69275393370837,78.03989116562367,109.4218317082928,37.8,15.399999999999999,680,679,0,3,97924,20191,3.0308055360986668,3.0308055360986668,0.08018004063753087,True,True,1.0,88.88206601540894,BOUNDARY_CROSSING,True,False,False,3.294549408877046,16.551489474343633,True,1.0603589075674904,0.8161096724478615,7.203617740789284,-0.0029411764705882526,0.0,0.0,0.7509596017177821,0.24113475177304966,0.002777777777777778,0.060358907567490405,0.0029411764705882526,0.29947613006204016,0.039446345550157996,0.0018382352941176544,0.24415819114279025,77.99947333097333,703.7097736498034,76.44485386200789,0.14705882352941177,1.0,0.0,77.39117647058823,33.0,0.05190502225289483,0.059716571272500886,0.012338797689551723,-0.012458676702736836,-0.05787833597838323,0.23181939345323851,0,98,0.0,False,False,True,False,False,False,False,0.0,0.0,0.2,0.0,98
M1_CROSS_BASELINE,local_forward,24,0.41666666666666663,LOCAL_FORWARD,675,-1.4,-56.14,-1.1199999999999917,218,548.1089875722037,81.9036627312993,36.33485345076244,62.76359749758626,2.633798923167027,10.893195202149595,111,740.3926917294749,82.29503492082412,101.95687552637489,56.053901117834144,3.1935606592880514,16.634714129529808,7,True,True,0.0,0.005692180453930167,0.9999837994096105,64.05275588232129,51.65588235294118,56.5,13.22194457480065,2.9859376096158696,1,1.0,98,0.14411764705882352,1,1.0,0.0,1.0,82.29503492082412,103.06403771578113,355.4654494760062,2609.8042634674957,0.1707889960450318,0.7659574468085106,0.7659574468085106,150.0,23.496918570655694,1.915057963870299,33.0,6.576833943819704,0,583,0,0,91.56642944324835,32.62902803890634,2.2656447881579074,2.9859376096158696,0,0.0,81.90472356065847,103.05386907522322,0.07930702848439444,0.014441571092606343,34.711245028939,22.727453831882293,58.745950010075816,69.91598848344138,37.8,15.399999999999999,680,679,0,3,88014,18067,3.370400047494025,3.370400047494025,0.08916402242047687,True,True,1.0,92.51326968483552,BOUNDARY_CROSSING,True,False,False,5.774191033458493,25.81086969361336,True,1.0550716742871267,1.052127907630748,-12.392097979686596,-0.0029411764705882526,0.0,0.0,0.6674647512636339,0.23404255319148937,0.0,0.025732863678817663,0.0029411764705882526,0.2778881128169541,0.03258960461448783,0.0023897058823529535,0.26102315197987214,77.99947333097333,703.7097736498034,76.44485386200789,0.14705882352941177,1.0,0.0,77.39117647058823,33.0,0.05190502225289483,0.059716571272500886,0.012338797689551723,-0.019315417638407002,-0.05732686539014793,0.2486843542903204,0,98,0.0,False,False,True,False,True,False,False,0.0,0.0,0.30000000000000004,0.0,98
M1_CROSS_BASELINE,local_forward,30,0.5166666666666666,LOCAL_FORWARD,675,-1.4,-56.14,-1.1199999999999917,218,560.0105633661742,86.94422605599,40.67848404912979,60.25800521327098,2.6026592292164805,24.732020995472677,114,793.2153249063632,86.94422605599001,112.28579106035092,52.7456422662733,4.5678126744681835,47.76051489772624,9,True,True,0.0,0.003339936659791703,0.9999944223959993,48.38715965180171,46.4264705882353,49.5,11.557294839790185,2.9993897879304083,1,1.0,97,0.1426470588235294,1,1.0,0.0,0.9897959183673469,86.94422605599001,113.75305146330194,354.8507192405029,2933.125313027691,0.24502237536183444,0.7659574468085106,0.7659574468085106,150.0,16.420097480933464,1.9618710280106282,33.0,5.892726496720442,0,855,0,0,85.32393602565351,32.31045969658825,2.1745396612476626,2.9993897879304083,11,0.06546033875233714,86.94427668408196,113.75377132622945,0.07214291666579899,0.01265449448377381,10.367808815378613,8.28333914270639,50.82569956043155,57.97262122652167,37.8,15.399999999999999,680,679,0,4,80764,16092,3.8828023283884967,3.8828023283884967,0.10271963831715601,True,True,1.0,86.00320259440234,BOUNDARY_CROSSING,True,False,False,8.640465034569232,34.56642080511838,True,1.114677091306266,1.1271910020409943,-28.05769421020618,-0.004411764705882365,0.0,0.0,0.5998935887204044,0.23404255319148937,0.0,0.061692517653296086,0.004411764705882365,0.273327396502959,0.04714106113389196,0.0034007352941176593,0.2671752742414156,77.99947333097333,703.7097736498034,76.44485386200789,0.14705882352941177,1.0,0.0,77.39117647058823,33.0,0.05190502225289483,0.059716571272500886,0.012338797689551723,-0.004763961119002874,-0.05631583597838323,0.25483647655186387,0,97,0.0,False,False,True,False,True,False,False,0.0,0.0,0.4,0.0,97
M1_CROSS_BASELINE,local_forward,36,0.6166666666666669,LOCAL_FORWARD,675,-1.4,-56.14,-1.1199999999999917,218,577.5940093379396,92.83437996660115,44.91622619684689,56.03719257303324,3.387666456912814,52.17499654840904,105,849.6712351683624,92.83437996660115,121.3545740487277,47.54427377783399,6.615107393173512,107.59565407158318,8,True,True,0.0,0.0021164791861596585,0.999997760255419,31.895673851902288,43.65588235294118,46.0,11.334322968868928,3.037103300772775,1,1.0,96,0.1411764705882353,1,1.0,0.0,0.9896907216494846,92.83437996660115,122.97909391039234,354.5619956887568,3231.3348702465373,0.29195141209589187,0.7730496453900709,0.7659574468085106,150.0,12.038000968629461,1.9903134169178078,33.0,6.383220180383132,0,1111,0,0,83.48167201474945,32.109828831002176,2.198733319933312,3.037103300772775,5,0.041266680066687655,92.83417525693679,122.9795662727721,0.06698832465620344,0.011956420895961689,1.0633071457969219,1.521342576838362,46.482760955060016,51.326339058920745,37.8,15.399999999999999,680,679,0,4,75663,14960,4.446296882156956,4.446296882156956,0.11762690164436392,True,True,1.0,83.44494235227253,JUNCTION_REGION,True,True,False,11.728193283361705,42.946717169686615,True,1.1901923949239914,1.207417129879449,-44.5491800101056,-0.0058823529411764774,0.0,0.0,0.5640937939421579,0.23404255319148937,0.0,0.09882534093433115,0.0058823529411764774,0.2765973543940436,0.07298320103411156,0.004641544117647068,0.2718863143177296,77.99947333097333,703.7097736498034,76.44485386200789,0.14705882352941177,1.0,0.0,77.39117647058823,33.0,0.05190502225289483,0.059716571272500886,0.012338797689551723,0.021078178781216726,-0.055075027154853816,0.2595475166281779,0,96,0.0,True,False,True,False,True,False,False,0.1,0.0,0.5,0.0,96
M1_CROSS_BASELINE,local_forward,42,0.7166666666666672,LOCAL_FORWARD,675,-1.4,-56.14,-1.1199999999999917,218,604.605118028391,98.08648859570002,49.187601500203264,52.03632244799205,4.496981450932946,73.412936986356,81,979.0481904663109,98.08648859570002,129.5921917220017,41.40064055149146,8.02422485394692,140.02886243454228,6,True,True,0.0,0.0012474403389105982,0.9999992219459978,9.36540197333103,41.34411764705882,43.0,11.071922389446373,3.089225836813537,1,1.0,95,0.13970588235294118,1,1.0,0.0,0.9895833333333334,98.08648859570002,131.2794547093869,354.4204066838789,3492.8350857894493,0.31673330518336906,0.7659574468085106,0.7659574468085106,150.0,8.777897721540853,2.0057797753075333,33.0,5.817657700372664,0,1355,0,0,82.20634927914594,32.54065324782864,2.2763265244014863,3.089225836813537,0,0.0,98.08626270732395,131.27598710239195,0.06320311337259103,0.01189514173273957,0.0,0.0,43.13132142896865,48.82316914521513,37.8,15.399999999999999,680,679,0,4,71543,14191,5.460493837429705,5.460493837429705,0.14445750892671178,True,True,1.0,82.85104384240255,JUNCTION_REGION,True,True,False,14.927677731697457,51.26182199957729,True,1.257527575596465,1.3912670068350192,-67.07945188867686,-0.00735294117647059,0.0,0.0,0.5342226275985255,0.23404255319148937,0.0,0.17951982045026238,0.00735294117647059,0.27282693786064044,0.12625151074218696,0.005997242647058829,0.272356626089185,77.99947333097333,703.7097736498034,76.44485386200789,0.14705882352941177,1.0,0.0,77.39117647058823,33.0,0.05190502225289483,0.059716571272500886,0.012338797689551723,0.07434648848929212,-0.053719328625442056,0.2600178283996333,0,95,0.0,True,False,True,False,True,False,False,0.2,0.0,0.6000000000000001,0.0,95
M1_CROSS_BASELINE,local_forward,48,0.8166666666666675,LOCAL_FORWARD,675,-1.4,-56.14,-1.1199999999999917,218,640.7878577650591,103.07793420046968,52.88762581882649,49.21824004428383,5.621096586935573,86.89061832033057,79,976.3837660305641,103.07793420046968,136.80912069895976,42.817638457432686,8.192778852892117,125.97696090795527,7,True,True,0.0,0.0007950656794518643,0.9999996839352328,8.087588205500962,39.03529411764706,41.0,10.404124814168124,3.152141759464323,1,1.0,94,0.13823529411764707,1,1.0,0.0,0.9894736842105263,103.07793420046968,138.3021755311867,354.3715645126041,3715.602598228029,0.32766551469757516,0.7659574468085106,0.7730496453900709,150.0,8.8093465918802,2.006475715707985,33.0,5.623909058327389,0,1587,0,0,73.0033414752992,32.9037881151844,2.3954333798541403,3.152141759464323,0,0.0,103.07774369852714,138.29994053368878,0.06031966399242482,0.012012875408316139,0.0,0.0,40.143562268387825,45.61581209875616,37.8,15.399999999999999,680,679,0,4,68433,13396,6.823342981412752,6.823342981412752,0.18051171908499347,True,True,1.0,75.09745183800642,JUNCTION_REGION,True,True,False,18.176035769363423,59.015939026915994,True,1.321520900058921,1.3874807521381038,-68.35726565650693,-0.008823529411764702,0.0,0.0,0.5043894652833201,0.23404255319148937,0.0,0.17791372864828436,0.008823529411764702,0.2715352802470053,0.15208261969523568,0.007410386029411766,0.2719459531680951,77.99947333097333,703.7097736498034,76.44485386200789,0.14705882352941177,1.0,0.0,77.39117647058823,33.0,0.05190502225289483,0.059716571272500886,0.012338797689551723,0.10017759744234084,-0.05230618524308912,0.2596071554785434,0,94,0.0,True,False,True,False,True,False,False,0.30000000000000004,0.0,0.7000000000000001,0.0,94
M1_CROSS_BASELINE,local_forward,54,0.9166666666666679,LOCAL_FORWARD,675,-1.4,-56.14,-1.1199999999999917,218,686.0413774513971,107.54971045860292,55.42808251135571,47.19965931941489,6.713015584839881,97.46023352568302,53,977.3357227328589,107.54971045860293,30.387354480006117,50.80752050805544,10.490244597227877,159.47210017927205,5,True,True,0.0,0.00046768242276649073,0.9999998906365697,7.4144040081153815,36.98235294117647,40.0,9.630969366281676,3.2189544517378383,1,1.0,93,0.13676470588235295,1,1.0,0.0,0.9893617021276596,107.54971045860293,143.58510558130283,354.27865117369754,3911.1834902547253,0.3375676683308322,0.7659574468085106,0.7730496453900709,150.0,10.505488255327634,2.0007881468192434,33.0,4.8293827112653025,0,1809,0,0,60.12894156254837,33.033717624649924,2.488760387052717,3.2189544517378383,0,0.0,107.54957028653213,143.58380359387846,0.05798139517235556,0.012011629860674066,0.0,0.0,37.937514521087955,44.252928961800244,37.8,15.399999999999999,680,679,0,5,66108,12669,7.651110175151335,7.651110175151335,0.20241032209395068,True,True,0.9999264994104506,61.78097261024616,JUNCTION_REGION,True,True,True,21.441251723142642,65.53374134274644,True,1.3788517520142702,1.388833521046453,-69.0304498538925,-0.010294117647058815,0.0,0.0,0.47786265344126483,0.23404255319148937,0.0,0.17848781115735468,0.010294117647058815,0.2662384379332581,0.16528521542629518,0.00885225183823529,0.2690921955506766,77.99947333097333,703.7097736498034,76.44485386200789,0.14705882352941177,1.0,0.0,77.39117647058823,33.0,0.05190502225289483,0.059716571272500886,0.012338797689551723,0.11338019317340034,-0.050864319434265594,0.2567533978611249,0,93,0.0,True,False,True,False,True,False,False,0.4,0.0,0.8,0.0,93
