map_case,frame,timestamp,profile_junction_detected,junction_detection_latched,active_junction_phase,active_viewpoint_state,viewpoint_scan_index,viewpoint_step_fraction,viewpoint_step_target,viewpoint_step_progress,viewpoint_cumulative_advance,trusted_corridor_width,trusted_corridor_orientation_deg,trusted_corridor_sign_source,local_forward_propulsion_active,leader_braking_active,leader_speed,follower_mean_speed,stationary_dwell_steps,provisional_fixed_anchor,pointcloud_ready,pointcloud_called,pointcloud_call_count,pointcloud_opening_count,min_inter_robot_distance,overlap_pair_count,wall_contact_count,outside_free_space_robot_count,nan_inf_state_count,max_speed,leader_connected,leader_communication_connected,leader_connected_component_size,leader_to_front_pack_gap,normalized_leader_gap,leader_displacement_since_detection_eval,anchor_x_eval,anchor_y_eval,gt_phase,viewpoint_step_actual_progress,viewpoint_remaining_progress,viewpoint_predicted_stopping_distance,viewpoint_brake_trigger_reason
M1_CROSS_BASELINE,0,0.016666666666666666,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,1.799992790879454,0.7831622973702062,0,False,False,False,0,0,2.659602386267772,0,0,0,0,1.8,True,True,680,2.6746962444360176,0.07075915990571476,0.0,nan,nan,CORRIDOR,0.0,0.0,0.0,NONE
M1_CROSS_BASELINE,6,0.11666666666666665,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,35.799365270424715,13.676764597217119,0,False,False,False,0,0,2.6602904825954905,0,0,0,0,35.799365270424715,True,True,680,2.7544739709507624,0.07286968177118419,0.0,nan,nan,CORRIDOR,0.0,0.0,0.0,NONE
M1_CROSS_BASELINE,12,0.21666666666666665,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,74.70761113595074,26.52958955156861,0,False,False,False,0,0,2.617382846708036,0,43,0,0,75.86092663950693,True,True,680,2.897871550809062,0.07666326853992228,0.0,nan,nan,CORRIDOR,0.0,0.0,0.0,NONE
M1_CROSS_BASELINE,18,0.31666666666666665,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,90.70103164960238,32.003652852520396,0,False,False,False,0,0,2.3177807237306154,0,297,0,0,90.70103164960238,True,True,680,3.030805536098666,0.08018004063753086,0.0,nan,nan,CORRIDOR,0.0,0.0,0.0,NONE
M1_CROSS_BASELINE,24,0.41666666666666663,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,91.83054442580814,32.5318141269124,0,False,False,False,0,0,2.265644788157895,0,585,0,0,91.83054442580814,True,True,680,3.2951930165349452,0.0871744184268504,0.0,nan,nan,CORRIDOR,0.0,0.0,0.0,NONE
M1_CROSS_BASELINE,30,0.5166666666666666,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,86.6023285696093,32.17899201159829,0,False,False,False,0,0,2.1745396612541086,11,873,0,0,86.6023285696093,True,True,680,3.700260890984119,0.09789049976148463,0.0,nan,nan,CORRIDOR,0.0,0.0,0.0,NONE
M1_CROSS_BASELINE,36,0.6166666666666669,True,True,JUNCTION_HOLD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,84.0,0.0,PRE_HOLD_LOCAL_MOTION,False,False,85.79494863914204,31.902853651425964,0,False,False,False,0,0,2.198733320253317,5,1161,0,0,85.79494863914204,True,True,680,4.416683397702625,0.1168434761296991,0.0,nan,nan,CORRIDOR,0.0,0.0,0.0,NONE
M1_CROSS_BASELINE,42,0.7166666666666672,True,True,LIDAR_BRAKING,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,84.0,0.0,PRE_HOLD_LOCAL_MOTION,False,True,70.19072902978665,26.65355458034334,0,False,False,False,0,0,2.2765243459293316,0,1449,0,0,70.19072902978665,True,True,680,5.538022144139949,0.1465085223317447,7.822373063063103,nan,nan,CORRIDOR,0.0,0.0,0.0,NONE
M1_CROSS_BASELINE,48,0.8166666666666675,True,True,LIDAR_BRAKING,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,84.0,0.0,PRE_HOLD_LOCAL_MOTION,False,True,46.63207801785093,18.693355225233432,0,False,False,False,0,0,2.395665854064284,0,1738,0,0,51.872612030006394,True,True,680,6.260648694497892,0.16562562683856857,13.463603872534256,nan,nan,CORRIDOR,0.0,0.0,0.0,NONE
M1_CROSS_BASELINE,54,0.9166666666666679,True,True,LIDAR_BRAKING,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,84.0,0.0,PRE_HOLD_LOCAL_MOTION,False,True,26.970377232074462,12.808895914071504,0,False,False,False,0,0,2.487982834589324,0,2032,0,0,39.886698351947615,True,True,680,6.49603202139065,0.17185269897858862,16.929615427782505,nan,nan,CORRIDOR,0.0,0.0,0.0,NONE
M1_CROSS_BASELINE,60,1.016666666666668,True,True,LIDAR_BRAKING,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,84.0,0.0,PRE_HOLD_LOCAL_MOTION,False,True,13.763640680474992,9.792055543696682,0,False,False,False,0,0,2.5742435171494495,0,2341,0,0,32.4096711145782,True,True,680,6.369657404046349,0.16850945513350132,18.805280633420505,nan,nan,CORRIDOR,0.0,0.0,0.0,NONE
